"","species","island","cycle","site","landCover","variable","estimate","standardError","LCI","UCI","modelType","modelFormulation","AIC","K","totalModelRuntime"
"67","Trachylepis atlantica","Ilha do Meio",2,27,"bushy","populationGrowthRate",0.792810898288701,0.0523247470556541,0.696612300446952,0.902294030757216,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"68","Trachylepis atlantica","Ilha do Meio",2,28,"bushy","populationGrowthRate",0.792810898288701,0.0523247470556541,0.696612300446952,0.902294030757216,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"69","Trachylepis atlantica","Ilha do Meio",2,29,"bushy","populationGrowthRate",0.792810898288701,0.0523247470556541,0.696612300446952,0.902294030757216,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"70","Trachylepis atlantica","Ilha do Meio",2,30,"bushy","populationGrowthRate",0.792810898288701,0.0523247470556541,0.696612300446952,0.902294030757216,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"71","Trachylepis atlantica","Ilha do Meio",2,31,"bushy","populationGrowthRate",0.792810898288701,0.0523247470556541,0.696612300446952,0.902294030757216,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"72","Trachylepis atlantica","Ilha do Meio",2,32,"bushy","populationGrowthRate",0.792810898288701,0.0523247470556541,0.696612300446952,0.902294030757216,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"73","Trachylepis atlantica","Ilha do Meio",2,33,"bushy","populationGrowthRate",0.792810898288701,0.0523247470556541,0.696612300446952,0.902294030757216,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"74","Trachylepis atlantica","Ilha do Meio",2,34,"semi-open","populationGrowthRate",0.792810898288701,0.0523247470556541,0.696612300446952,0.902294030757216,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"75","Trachylepis atlantica","Ilha do Meio",2,35,"bushy","populationGrowthRate",0.792810898288701,0.0523247470556541,0.696612300446952,0.902294030757216,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"76","Trachylepis atlantica","Ilha do Meio",2,36,"semi-open","populationGrowthRate",0.792810898288701,0.0523247470556541,0.696612300446952,0.902294030757216,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"77","Trachylepis atlantica","Ilha do Meio",2,37,"open","populationGrowthRate",0.792810898288701,0.0523247470556541,0.696612300446952,0.902294030757216,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"78","Trachylepis atlantica","Ilha do Meio",2,38,"open","populationGrowthRate",0.792810898288701,0.0523247470556541,0.696612300446952,0.902294030757216,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"79","Trachylepis atlantica","Ilha do Meio",2,39,"open","populationGrowthRate",0.792810898288701,0.0523247470556541,0.696612300446952,0.902294030757216,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"80","Trachylepis atlantica","Ilha do Meio",2,40,"open","populationGrowthRate",0.792810898288701,0.0523247470556541,0.696612300446952,0.902294030757216,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"81","Trachylepis atlantica","Ilha do Meio",4,1,"semi-open","populationGrowthRate",0.798859055579486,0.0524129275308955,0.702462360143168,0.908483965676512,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"82","Trachylepis atlantica","Ilha do Meio",4,2,"open","populationGrowthRate",0.798859055579486,0.0524129275308955,0.702462360143168,0.908483965676512,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"83","Trachylepis atlantica","Ilha do Meio",4,3,"open","populationGrowthRate",0.798859055579486,0.0524129275308955,0.702462360143168,0.908483965676512,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"84","Trachylepis atlantica","Ilha do Meio",4,4,"open","populationGrowthRate",0.798859055579486,0.0524129275308955,0.702462360143168,0.908483965676512,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"85","Trachylepis atlantica","Ilha do Meio",4,5,"open","populationGrowthRate",0.798859055579486,0.0524129275308955,0.702462360143168,0.908483965676512,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"86","Trachylepis atlantica","Ilha do Meio",4,6,"open","populationGrowthRate",0.798859055579486,0.0524129275308955,0.702462360143168,0.908483965676512,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"87","Trachylepis atlantica","Ilha do Meio",4,7,"open","populationGrowthRate",0.798859055579486,0.0524129275308955,0.702462360143168,0.908483965676512,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"88","Trachylepis atlantica","Ilha do Meio",4,8,"open","populationGrowthRate",0.798859055579486,0.0524129275308955,0.702462360143168,0.908483965676512,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"89","Trachylepis atlantica","Ilha do Meio",4,9,"open","populationGrowthRate",0.798859055579486,0.0524129275308955,0.702462360143168,0.908483965676512,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"90","Trachylepis atlantica","Ilha do Meio",4,10,"open","populationGrowthRate",0.798859055579486,0.0524129275308955,0.702462360143168,0.908483965676512,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"91","Trachylepis atlantica","Ilha do Meio",4,11,"open","populationGrowthRate",0.798859055579486,0.0524129275308955,0.702462360143168,0.908483965676512,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"92","Trachylepis atlantica","Ilha do Meio",4,12,"semi-open","populationGrowthRate",0.798859055579486,0.0524129275308955,0.702462360143168,0.908483965676512,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"93","Trachylepis atlantica","Ilha do Meio",4,13,"open","populationGrowthRate",0.798859055579486,0.0524129275308955,0.702462360143168,0.908483965676512,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"94","Trachylepis atlantica","Ilha do Meio",4,14,"treed","populationGrowthRate",0.798859055579486,0.0524129275308955,0.702462360143168,0.908483965676512,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"95","Trachylepis atlantica","Ilha do Meio",4,15,"treed","populationGrowthRate",0.798859055579486,0.0524129275308955,0.702462360143168,0.908483965676512,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"96","Trachylepis atlantica","Ilha do Meio",4,16,"treed","populationGrowthRate",0.798859055579486,0.0524129275308955,0.702462360143168,0.908483965676512,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"97","Trachylepis atlantica","Ilha do Meio",4,17,"treed","populationGrowthRate",0.798859055579486,0.0524129275308955,0.702462360143168,0.908483965676512,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"98","Trachylepis atlantica","Ilha do Meio",4,18,"treed","populationGrowthRate",0.798859055579486,0.0524129275308955,0.702462360143168,0.908483965676512,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"99","Trachylepis atlantica","Ilha do Meio",4,19,"treed","populationGrowthRate",0.798859055579486,0.0524129275308955,0.702462360143168,0.908483965676512,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"100","Trachylepis atlantica","Ilha do Meio",4,20,"treed","populationGrowthRate",0.798859055579486,0.0524129275308955,0.702462360143168,0.908483965676512,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"101","Trachylepis atlantica","Ilha do Meio",4,21,"treed","populationGrowthRate",0.798859055579486,0.0524129275308955,0.702462360143168,0.908483965676512,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"102","Trachylepis atlantica","Ilha do Meio",4,22,"treed","populationGrowthRate",0.798859055579486,0.0524129275308955,0.702462360143168,0.908483965676512,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"103","Trachylepis atlantica","Ilha do Meio",4,23,"semi-open","populationGrowthRate",0.798859055579486,0.0524129275308955,0.702462360143168,0.908483965676512,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"104","Trachylepis atlantica","Ilha do Meio",4,24,"treed","populationGrowthRate",0.798859055579486,0.0524129275308955,0.702462360143168,0.908483965676512,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"105","Trachylepis atlantica","Ilha do Meio",4,25,"bushy","populationGrowthRate",0.798859055579486,0.0524129275308955,0.702462360143168,0.908483965676512,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"106","Trachylepis atlantica","Ilha do Meio",4,26,"bushy","populationGrowthRate",0.798859055579486,0.0524129275308955,0.702462360143168,0.908483965676512,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"107","Trachylepis atlantica","Ilha do Meio",4,27,"bushy","populationGrowthRate",0.798859055579486,0.0524129275308955,0.702462360143168,0.908483965676512,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"108","Trachylepis atlantica","Ilha do Meio",4,28,"bushy","populationGrowthRate",0.798859055579486,0.0524129275308955,0.702462360143168,0.908483965676512,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"109","Trachylepis atlantica","Ilha do Meio",4,29,"bushy","populationGrowthRate",0.798859055579486,0.0524129275308955,0.702462360143168,0.908483965676512,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
"110","Trachylepis atlantica","Ilha do Meio",4,30,"bushy","populationGrowthRate",0.798859055579486,0.0524129275308955,0.702462360143168,0.908483965676512,"ZIP","lam(cover)gamma(TSE)p(JulianDate+observerID)iota(.)",574.49,1450,47.0159736037254
